VDD,Ib,Lg1,Lg2,Lrf,Wcf,Wg1,Wg2,temperature,Pass/Fail,ACM_G,SR,CMRR,NOISE,PSRR,PhaseMargin_PM,BandWidth
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,5.00E-06,1.00E-05,27,fail,51.13,1.85E+07,61.23,6.01E-05,-74.31,94.07,9.02E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,5.00E-06,1.00E-05,125,fail,50.07,1.80E+07,58.89,7.58E-05,-74.02,88.26,7.79E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,5.00E-06,1.50E-05,27,fail,51.28,1.80E+07,58.48,6.00E-05,-71.69,93.68,8.76E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,5.00E-06,1.50E-05,125,fail,50.12,1.76E+07,56.25,7.58E-05,-71.2,87.87,7.63E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.00E-05,5.00E-06,27,fail,51.34,1.87E+07,73.16,5.33E-05,-85.43,92.18,1.03E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.00E-05,5.00E-06,125,fail,50.41,1.88E+07,69.61,6.83E-05,-86.27,86.2,8.71E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.00E-05,1.00E-05,27,fail,51.72,1.83E+07,62.12,5.32E-05,-76,93.49,9.79E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.00E-05,1.00E-05,125,fail,50.63,1.78E+07,59.45,6.81E-05,-76.25,87.11,8.39E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.00E-05,1.50E-05,27,fail,51.87,1.80E+07,59.4,5.32E-05,-73.42,93.04,9.50E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.00E-05,1.50E-05,125,fail,50.69,1.80E+07,56.84,6.82E-05,-73.42,86.68,8.21E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.50E-05,5.00E-06,27,fail,51.57,1.86E+07,73.47,5.08E-05,-86.28,91.01,1.07E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.50E-05,5.00E-06,125,fail,50.64,1.86E+07,69.73,6.53E-05,-87.68,84.95,9.02E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.50E-05,1.00E-05,27,fail,51.95,1.84E+07,62.45,5.07E-05,-77.03,92.37,1.02E+05
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.50E-05,1.00E-05,125,fail,50.86,1.84E+07,59.56,6.52E-05,-77.74,85.92,8.69E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.50E-05,1.50E-05,27,fail,52.1,1.81E+07,59.74,5.07E-05,-74.48,91.89,9.86E+04
2,5.00E-06,2.80E-07,2.80E-07,1.50E-05,3.50E-05,1.50E-05,1.50E-05,125,fail,50.93,1.75E+07,56.97,6.52E-05,-74.91,85.47,8.50E+04
