Temp (0C),Sw.Freq.,MN,MP,M_DRVRN,M_DRVRP,RL(Ohms),No. Phases,Pass/Fail,Eff1(%),HSLoss(W),LSLoss(W),Pin(W),Pout(W),VDD(W),Closs(W),Lloss(W),,,,
27,8.00E+07,59,158,13,32,0.75,8,pass,87.51,5.25E-02,2.05E-02,1.729,1.519,6.38E-03,5.70E-05,6.52E-02,,,,
27,8.00E+07,62,167,13,33,0.75,8,pass,87.48,5.24E-02,2.02E-02,1.735,1.524,6.64E-03,6.96E-05,6.52E-02,,,,
27,8.00E+07,66,175,14,35,0.75,8,pass,87.41,5.27E-02,1.99E-02,1.741,1.528,7.08E-03,5.76E-05,6.56E-02,,,,
27,8.00E+07,69,183,15,37,0.75,8,pass,87.34,5.25E-02,1.98E-02,1.747,1.532,7.44E-03,6.67E-05,6.55E-02,,,,
27,8.00E+07,72,192,15,38,0.75,8,pass,87.26,5.24E-02,1.99E-02,1.752,1.536,7.70E-03,7.45E-05,6.55E-02,,,,
27,8.00E+07,75,200,16,40,0.75,8,pass,87.16,5.20E-02,1.98E-02,1.757,1.539,8.06E-03,7.38E-05,6.55E-02,,,,
27,8.00E+07,78,208,17,42,0.75,8,pass,87.06,5.38E-02,2.04E-02,1.763,1.542,8.42E-03,7.15E-05,6.60E-02,,,,
27,8.00E+07,16,42,3,8,1,8,fail,84.11,6.83E-02,4.27E-02,1.251,1.054,1.23E-03,3.07E-05,3.38E-02,,,,
27,8.00E+07,19,50,4,10,1,8,pass,85.24,5.89E-02,3.72E-02,1.263,1.078,1.58E-03,3.40E-05,3.47E-02,,,,
27,8.00E+07,22,58,5,12,1,8,pass,86.01,5.25E-02,3.28E-02,1.273,1.096,1.97E-03,3.98E-05,3.52E-02,,,,
27,8.00E+07,25,67,5,13,1,8,pass,86.62,4.72E-02,2.91E-02,1.281,1.112,2.31E-03,5.70E-05,3.58E-02,,,,
27,8.00E+07,28,75,6,15,1,8,pass,87.04,4.36E-02,2.60E-02,1.288,1.124,2.71E-03,4.90E-05,3.63E-02,,,,
27,8.00E+07,31,83,7,17,1,8,pass,87.32,4.16E-02,2.37E-02,1.295,1.133,3.12E-03,5.16E-05,3.65E-02,,,,
27,8.00E+07,34,92,7,18,1,8,pass,87.53,4.00E-02,2.16E-02,1.302,1.142,3.46E-03,6.36E-05,3.66E-02,,,,
27,8.00E+07,38,100,8,20,1,8,pass,87.67,3.78E-02,1.90E-02,1.308,1.15,3.96E-03,6.20E-05,3.70E-02,,,,
27,8.00E+07,41,108,9,22,1,8,pass,87.76,3.72E-02,1.79E-02,1.313,1.156,4.36E-03,5.48E-05,3.74E-02,,,,
27,8.00E+07,44,117,9,23,1,8,pass,87.8,3.69E-02,1.71E-02,1.318,1.161,4.66E-03,5.33E-05,3.75E-02,,,,
27,8.00E+07,47,125,10,25,1,8,pass,87.78,3.64E-02,1.63E-02,1.323,1.166,5.04E-03,6.15E-05,3.76E-02,,,,
27,8.00E+07,50,133,11,27,1,8,pass,87.72,3.61E-02,1.56E-02,1.329,1.17,5.40E-03,5.14E-05,3.77E-02,,,,
27,8.00E+07,53,142,11,28,1,8,pass,87.67,3.63E-02,1.54E-02,1.334,1.175,5.66E-03,7.02E-05,3.76E-02,,,,
27,8.00E+07,56,150,12,30,1,8,pass,87.58,3.67E-02,1.55E-02,1.339,1.178,6.02E-03,6.83E-05,3.79E-02,,,,
27,8.00E+07,59,158,13,32,1,8,pass,87.47,3.66E-02,1.54E-02,1.343,1.18,6.38E-03,4.25E-05,3.82E-02,,,,
27,8.00E+07,62,167,13,33,1,8,pass,87.35,3.68E-02,1.54E-02,1.348,1.184,6.63E-03,6.95E-05,3.79E-02,,,,
27,8.00E+07,66,175,14,35,1,8,pass,87.2,3.75E-02,1.57E-02,1.353,1.186,7.08E-03,6.80E-05,3.80E-02,,,,
27,8.00E+07,69,183,15,37,1,8,pass,87.06,3.75E-02,1.58E-02,1.358,1.188,7.44E-03,6.00E-05,3.80E-02,,,,
27,8.00E+07,72,192,15,38,1,8,pass,86.91,3.86E-02,1.63E-02,1.362,1.19,7.69E-03,5.23E-05,3.84E-02,,,,
27,8.00E+07,75,200,16,40,1,8,pass,86.74,3.93E-02,1.67E-02,1.367,1.192,8.04E-03,6.29E-05,3.84E-02,,,,
27,8.00E+07,78,208,17,42,1,8,pass,86.57,4.00E-02,1.72E-02,1.371,1.195,8.41E-03,6.61E-05,3.83E-02,,,,
,,,,,,,,,,,,,,,,,,,,
27,1.20E+08,16,42,3,8,0.5,8,fail,78.73,1.93E-01,1.08E-01,2.177,1.715,1.74E-03,7.70E-06,1.10E-01,,,,
27,1.20E+08,19,50,4,10,0.5,8,fail,80.4,1.71E-01,9.57E-02,2.228,1.793,2.18E-03,8.04E-06,1.15E-01,,,,
27,1.20E+08,22,58,5,12,0.5,8,fail,81.57,1.55E-01,8.60E-02,2.267,1.852,2.65E-03,7.12E-06,1.19E-01,,,,
27,1.20E+08,25,67,5,13,0.5,8,fail,82.52,1.42E-01,7.80E-02,2.302,1.902,3.06E-03,2.53E-07,1.22E-01,,,,
27,1.20E+08,28,75,6,15,0.5,8,fail,83.17,1.34E-01,7.13E-02,2.33,1.941,3.65E-03,3.38E-06,1.24E-01,,,,
27,1.20E+08,31,83,7,17,0.5,8,fail,83.69,1.27E-01,6.51E-02,2.353,1.973,4.25E-03,3.30E-06,1.26E-01,,,,
27,1.20E+08,34,92,7,18,0.5,8,fail,84.12,1.22E-01,6.02E-02,2.376,2.003,4.73E-03,7.53E-08,1.28E-01,,,,
27,1.20E+08,38,100,8,20,0.5,8,fail,84.46,1.19E-01,5.43E-02,2.397,2.029,5.46E-03,1.13E-06,1.30E-01,,,,
27,1.20E+08,41,108,9,22,0.5,8,fail,84.68,1.16E-01,5.06E-02,2.414,2.05,6.06E-03,7.94E-06,1.31E-01,,,,
27,1.20E+08,44,117,9,23,0.5,8,fail,84.88,1.13E-01,4.74E-02,2.431,2.069,6.56E-03,3.57E-07,1.33E-01,,,,
27,1.20E+08,47,125,10,25,0.5,8,pass,85.01,1.12E-01,4.47E-02,2.446,2.085,7.18E-03,3.11E-06,1.34E-01,,,,
27,1.20E+08,50,133,11,27,0.5,8,pass,85.09,1.11E-01,4.24E-02,2.46,2.099,7.81E-03,7.99E-06,1.35E-01,,,,
27,1.20E+08,53,142,11,28,0.5,8,pass,85.17,1.10E-01,4.04E-02,2.474,2.114,8.30E-03,3.48E-06,1.35E-01,,,,
27,1.20E+08,56,150,12,30,0.5,8,pass,85.19,1.09E-01,3.88E-02,2.486,2.125,8.89E-03,9.77E-06,1.36E-01,,,,
27,1.20E+08,59,158,13,32,0.5,8,pass,85.19,1.09E-01,3.76E-02,2.498,2.136,9.46E-03,7.06E-06,1.37E-01,,,,
27,1.20E+08,62,167,13,33,0.5,8,pass,85.17,1.09E-01,3.66E-02,2.51,2.146,9.85E-03,1.21E-05,1.38E-01,,,,
27,1.20E+08,66,175,14,35,0.5,8,pass,85.13,1.10E-01,3.56E-02,2.522,2.156,1.05E-02,1.13E-05,1.38E-01,,,,
27,1.20E+08,69,183,15,37,0.5,8,pass,85.08,1.11E-01,3.52E-02,2.532,2.164,1.10E-02,1.40E-05,1.39E-01,,,,
27,1.20E+08,72,192,15,38,0.5,8,pass,85.01,1.11E-01,3.50E-02,2.543,2.172,1.14E-02,1.51E-05,1.39E-01,,,,
27,1.20E+08,75,200,16,40,0.5,8,fail,84.93,1.12E-01,3.49E-02,2.553,2.179,1.20E-02,1.61E-05,1.40E-01,,,,
27,1.20E+08,78,208,17,42,0.5,8,fail,84.85,1.13E-01,3.50E-02,2.563,2.185,1.25E-02,1.09E-05,1.40E-01,,,,
27,1.20E+08,16,42,3,8,0.75,8,fail,82.79,1.05E-01,5.68E-02,1.57,1.301,1.81E-03,5.12E-06,5.54E-02,,,,
27,1.20E+08,19,50,4,10,0.75,8,fail,83.94,9.45E-02,4.96E-02,1.597,1.343,2.32E-03,5.71E-06,5.73E-02,,,,
27,1.20E+08,22,58,5,12,0.75,8,fail,84.73,8.73E-02,4.38E-02,1.619,1.375,2.90E-03,7.33E-06,5.87E-02,,,,
27,1.20E+08,25,67,5,13,0.75,8,pass,85.35,8.17E-02,3.90E-02,1.64,1.402,3.39E-03,1.85E-06,5.99E-02,,,,
27,1.20E+08,28,75,6,15,0.75,8,pass,85.74,7.84E-02,3.50E-02,1.656,1.423,3.98E-03,5.81E-06,6.08E-02,,,,
27,1.20E+08,31,83,7,17,0.75,8,pass,86.01,7.61E-02,3.17E-02,1.671,1.441,4.58E-03,1.15E-05,6.16E-02,,,,
27,1.20E+08,34,92,7,18,0.75,8,pass,86.22,7.43E-02,2.90E-02,1.685,1.457,5.08E-03,6.24E-06,6.23E-02,,,,
27,1.20E+08,38,100,8,20,0.75,8,pass,86.35,7.38E-02,2.62E-02,1.698,1.471,5.83E-03,8.95E-06,6.29E-02,,,,
27,1.20E+08,41,108,9,22,0.75,8,pass,86.38,7.34E-02,2.47E-02,1.71,1.482,6.45E-03,1.34E-05,6.34E-02,,,,
27,1.20E+08,44,117,9,23,0.75,8,pass,86.4,7.29E-02,2.35E-02,1.721,1.493,6.91E-03,1.62E-05,6.39E-02,,,,
27,1.20E+08,47,125,10,25,0.75,8,pass,86.37,7.30E-02,2.27E-02,1.731,1.502,7.48E-03,1.50E-05,6.42E-02,,,,
27,1.20E+08,50,133,11,27,0.75,8,pass,86.29,7.31E-02,2.22E-02,1.741,1.509,8.02E-03,2.42E-05,6.46E-02,,,,
27,1.20E+08,53,142,11,28,0.75,8,pass,86.22,7.34E-02,2.20E-02,1.75,1.516,8.39E-03,1.72E-05,6.49E-02,,,,
27,1.20E+08,56,150,12,30,0.75,8,pass,86.1,7.41E-02,2.22E-02,1.759,1.522,8.93E-03,1.90E-05,6.52E-02,,,,
27,1.20E+08,59,158,13,32,0.75,8,pass,85.96,7.46E-02,2.23E-02,1.768,1.528,9.47E-03,2.45E-05,6.55E-02,,,,
27,1.20E+08,62,167,13,33,0.75,8,pass,85.83,7.53E-02,2.27E-02,1.777,1.533,9.85E-03,2.27E-05,6.57E-02,,,,
27,1.20E+08,66,175,14,35,0.75,8,pass,85.67,7.64E-02,2.31E-02,1.786,1.539,1.05E-02,2.56E-05,6.59E-02,,,,
27,1.20E+08,69,183,15,37,0.75,8,pass,85.5,7.72E-02,2.36E-02,1.793,1.543,1.10E-02,3.09E-05,6.61E-02,,,,
27,1.20E+08,72,192,15,38,0.75,8,pass,85.34,7.82E-02,2.43E-02,1.802,1.547,1.14E-02,2.60E-05,6.63E-02,,,,
27,1.20E+08,75,200,16,40,0.75,8,pass,85.16,7.92E-02,2.51E-02,1.809,1.551,1.19E-02,3.08E-05,6.65E-02,,,,
27,1.20E+08,78,208,17,42,0.75,8,fail,84.96,8.03E-02,2.59E-02,1.817,1.554,1.25E-02,3.48E-05,6.66E-02,,,,
27,1.20E+08,16,42,3,8,1,8,fail,84.56,6.87E-02,3.62E-02,1.236,1.047,1.90E-03,4.48E-07,3.35E-02,,,,
27,1.20E+08,19,50,4,10,1,8,pass,85.44,6.23E-02,3.12E-02,1.253,1.073,2.47E-03,3.91E-06,3.44E-02,,,,
27,1.20E+08,22,58,5,12,1,8,pass,86.02,5.82E-02,2.72E-02,1.268,1.094,3.07E-03,1.14E-05,3.50E-02,,,,
27,1.20E+08,25,67,5,13,1,8,pass,86.45,5.48E-02,2.40E-02,1.282,1.111,3.55E-03,4.70E-06,3.57E-02,,,,
27,1.20E+08,28,75,6,15,1,8,pass,86.68,5.30E-02,2.15E-02,1.294,1.125,4.16E-03,1.21E-05,3.61E-02,,,,
27,1.20E+08,31,83,7,17,1,8,pass,86.83,5.20E-02,1.96E-02,1.304,1.136,4.78E-03,1.05E-05,3.64E-02,,,,
